customer_id,customer_age,employment_type,branch_category,monthly_salary,credit_score,savings_balance,dti_ratio,existing_loans,monthly_expenses,customer_risk_score,recommended_loan_scheme
CUST-10157,49,Self-Employed-Business,Tier-3-SemiUrban,11600.0,688,80600.0,49.5,3,6300.0,53,Standard Credit Builder Loan
CUST-10158,56,Salaried-Corporate,Tier-2-Urban,7400.0,814,5000.0,36.9,0,3500.0,26,Enterprise Preferred Express Loan
CUST-10159,33,Salaried-Corporate,Tier-2-Urban,23400.0,683,55800.0,45.4,1,11200.0,45,Standard Credit Builder Loan
CUST-10160,52,Gig-Worker,Tier-3-SemiUrban,22800.0,823,32200.0,25.5,3,6200.0,27,Super-Prime Privilege Loan
CUST-10161,27,Salaried-Corporate,Tier-1-Metro,15700.0,743,12000.0,27.3,0,4600.0,28,Enterprise Preferred Express Loan
CUST-10162,42,Salaried-Govt,Tier-1-Metro,1800.0,709,4600.0,22.9,1,1100.0,34,Standard Credit Builder Loan
CUST-10163,48,Salaried-Govt,Tier-3-SemiUrban,23100.0,643,182800.0,28.6,0,7100.0,23,Standard Credit Builder Loan
CUST-10164,22,Salaried-Govt,Tier-2-Urban,14400.0,703,36400.0,36.7,0,5900.0,36,Enterprise Preferred Express Loan
CUST-10165,62,Self-Employed-Business,Tier-2-Urban,29800.0,695,163200.0,31.2,0,9800.0,21,Enterprise Preferred Express Loan
CUST-10166,65,Salaried-Corporate,Tier-2-Urban,18800.0,616,26100.0,47.4,1,9200.0,57,Standard Credit Builder Loan
CUST-10167,26,Salaried-Govt,Tier-1-Metro,23100.0,694,115800.0,50.3,1,11900.0,41,Guaranteed Secured Loan
CUST-10168,48,Salaried-Corporate,Tier-2-Urban,15200.0,650,119800.0,30.1,1,5000.0,34,Standard Credit Builder Loan
CUST-10169,48,Self-Employed-Business,Tier-2-Urban,20100.0,754,54000.0,19.3,2,4300.0,25,Super-Prime Privilege Loan
CUST-10170,64,Salaried-Corporate,Tier-1-Metro,29600.0,808,203100.0,52.4,0,16100.0,16,Guaranteed Secured Loan
CUST-10171,64,Salaried-Govt,Tier-2-Urban,10200.0,618,81400.0,42.5,0,4900.0,45,Standard Credit Builder Loan
CUST-10172,40,Salaried-Corporate,Tier-3-SemiUrban,3500.0,838,17200.0,38.1,0,2100.0,23,Enterprise Preferred Express Loan
CUST-10173,50,Salaried-Corporate,Tier-1-Metro,7400.0,700,20900.0,43.0,0,3900.0,41,Enterprise Preferred Express Loan
CUST-10174,31,Salaried-Corporate,Tier-2-Urban,11300.0,637,62700.0,11.6,0,1800.0,26,Standard Credit Builder Loan
CUST-10175,48,Salaried-Corporate,Tier-1-Metro,9400.0,767,64300.0,11.2,1,1600.0,14,Super-Prime Privilege Loan
CUST-10176,45,Self-Employed-Professional,Tier-2-Urban,4200.0,677,7500.0,15.2,2,1200.0,37,Standard Credit Builder Loan
CUST-10177,59,Salaried-Corporate,Tier-1-Metro,3400.0,704,13200.0,14.9,3,800.0,37,Standard Credit Builder Loan
CUST-10178,53,Self-Employed-Professional,Tier-2-Urban,5700.0,680,16500.0,27.8,0,2400.0,35,Enterprise Preferred Express Loan
CUST-10179,21,Gig-Worker,Tier-3-SemiUrban,14500.0,649,38100.0,15.4,2,2700.0,37,Standard Credit Builder Loan
CUST-10180,47,Salaried-Govt,Tier-1-Metro,23100.0,764,160700.0,48.2,2,11900.0,31,Standard Credit Builder Loan
CUST-10181,33,Salaried-Corporate,Tier-3-SemiUrban,15500.0,689,56800.0,35.2,1,6200.0,38,Enterprise Preferred Express Loan
CUST-10182,61,Salaried-Corporate,Rural,16900.0,602,51400.0,25.3,0,4800.0,39,Standard Credit Builder Loan
CUST-10183,23,Self-Employed-Business,Tier-1-Metro,8500.0,751,42700.0,11.3,4,1200.0,30,Super-Prime Privilege Loan
CUST-10184,59,Salaried-Corporate,Tier-1-Metro,3100.0,620,6700.0,35.8,1,1700.0,52,Standard Credit Builder Loan
CUST-10185,26,Salaried-Corporate,Rural,6800.0,624,15100.0,13.5,4,1500.0,49,Standard Credit Builder Loan
CUST-10186,28,Salaried-Govt,Rural,7700.0,799,33900.0,42.9,1,4000.0,32,Enterprise Preferred Express Loan
CUST-10187,47,Self-Employed-Professional,Tier-1-Metro,6600.0,620,23600.0,45.7,1,3200.0,56,Standard Credit Builder Loan
CUST-10188,29,Self-Employed-Business,Tier-1-Metro,9300.0,536,25200.0,33.6,0,3600.0,55,Guaranteed Secured Loan
CUST-10189,57,Salaried-Corporate,Tier-1-Metro,11700.0,757,10600.0,15.0,4,2500.0,35,Enterprise Preferred Express Loan
CUST-10190,53,Self-Employed-Business,Rural,14900.0,687,65600.0,45.0,0,7500.0,40,Enterprise Preferred Express Loan
CUST-10191,62,Salaried-Corporate,Tier-1-Metro,7600.0,694,50300.0,22.5,0,2000.0,27,Enterprise Preferred Express Loan
CUST-10192,64,Salaried-Corporate,Tier-2-Urban,2900.0,686,20000.0,18.5,1,1300.0,32,Standard Credit Builder Loan
CUST-10193,44,Self-Employed-Professional,Tier-3-SemiUrban,6700.0,727,15200.0,30.1,1,2300.0,35,Enterprise Preferred Express Loan
CUST-10194,35,Salaried-Corporate,Tier-1-Metro,9200.0,654,46000.0,51.4,0,5400.0,49,Guaranteed Secured Loan
CUST-10195,52,Salaried-Corporate,Tier-2-Urban,18700.0,821,129400.0,22.0,1,4500.0,8,Super-Prime Privilege Loan
CUST-10196,52,Salaried-Corporate,Tier-1-Metro,6400.0,599,22800.0,50.6,1,4000.0,62,Guaranteed Secured Loan
CUST-10197,44,Self-Employed-Professional,Tier-3-SemiUrban,12200.0,743,91400.0,10.5,1,1900.0,14,Enterprise Preferred Express Loan
CUST-10198,61,Self-Employed-Business,Tier-1-Metro,10700.0,758,77800.0,11.9,0,1700.0,10,Super-Prime Privilege Loan
CUST-10199,32,Self-Employed-Business,Tier-2-Urban,9200.0,653,19000.0,40.8,1,4100.0,50,Standard Credit Builder Loan
CUST-10200,59,Self-Employed-Business,Tier-2-Urban,15700.0,633,38300.0,17.0,0,3000.0,32,Standard Credit Builder Loan
CUST-10201,22,Salaried-Corporate,Tier-1-Metro,6000.0,786,11100.0,22.9,0,2000.0,20,Super-Prime Privilege Loan
CUST-10202,23,Salaried-Govt,Tier-1-Metro,6300.0,636,12400.0,14.4,1,1600.0,37,Standard Credit Builder Loan
CUST-10203,57,Salaried-Corporate,Tier-1-Metro,8900.0,665,65000.0,23.6,0,2800.0,29,Standard Credit Builder Loan
